"Stationsname","Stationsnummer","Parameter","Zeitreihe","Parametereinheit","Gewässer","Zeitstempel","Zeitpunkt_des_Auftretens","Wert","Freigabestatus"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-19 00:00:00","2000-03-19 02:13:55",326,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-20 00:00:00","2000-03-20 02:24:00",325.929,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-21 00:00:00","2000-03-21 01:53:45",325.901,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-22 00:00:00","2000-03-22 19:23:30",325.896,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-23 00:00:00","2000-03-23 02:24:00",325.889,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-24 00:00:00","2000-03-24 12:53:15",325.856,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-25 00:00:00","2000-03-25 08:13:55",325.814,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-26 00:00:00","2000-03-26 19:23:00",325.779,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-27 01:00:00","2000-03-27 16:53:15",325.892,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-28 01:00:00","2000-03-28 18:24:00",325.821,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-29 01:00:00","2000-03-29 22:12:55",325.821,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-30 01:00:00","2000-03-30 01:12:55",325.814,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-03-31 01:00:00","2000-03-31 11:23:30",325.792,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-01 01:00:00","2000-04-01 12:34:00",325.756,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-02 01:00:00","2000-04-02 09:13:55",325.718,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-03 01:00:00","2000-04-03 13:23:00",325.656,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-04 01:00:00","2000-04-04 15:03:50",325.614,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-05 01:00:00","2000-04-05 22:33:05",325.695,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-06 01:00:00","2000-04-06 15:44:05",325.736,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-07 01:00:00","2000-04-07 10:53:15",325.71,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-08 01:00:00","2000-04-08 14:23:30",325.665,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-09 01:00:00","2000-04-09 05:13:25",325.602,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-10 01:00:00","2000-04-10 05:33:35",325.594,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-11 01:00:00","2000-04-11 21:13:55",325.737,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-12 01:00:00","2000-04-12 15:13:55",325.822,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-13 01:00:00","2000-04-13 20:03:20",325.84,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-14 01:00:00","2000-04-14 14:53:45",325.798,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-15 01:00:00","2000-04-15 16:04:15",325.77,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-16 01:00:00","2000-04-16 02:33:35",325.746,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-17 01:00:00","2000-04-17 13:33:05",325.719,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-18 01:00:00","2000-04-18 17:13:25",325.721,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-19 01:00:00","2000-04-19 09:24:00",325.751,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-20 01:00:00","2000-04-20 21:24:00",325.833,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-21 01:00:00","2000-04-21 01:33:05",325.954,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-22 01:00:00","2000-04-22 09:03:50",325.769,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-23 01:00:00","2000-04-23 08:33:35",325.787,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-24 01:00:00","2000-04-24 16:43:10",326.021,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-25 01:00:00","2000-04-26 01:00:00",325.954,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-26 01:00:00","2000-04-26 18:54:10",326.034,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-27 01:00:00","2000-04-27 19:23:00",326.166,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-28 01:00:00","2000-04-28 21:03:50",326.181,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-29 01:00:00","2000-04-29 09:24:00",326.187,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-04-30 01:00:00","2000-04-30 19:33:05",326.153,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-05-01 01:00:00","2000-05-01 17:03:20",326.196,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-05-02 01:00:00","2000-05-02 12:24:00",326.234,"Freigegeben, validierte Daten"
